A9,LDA,IM
A5,LDA,ZP
B5,LDA,ZX
8D,STA,AB
AA,TAX,#
E8,INX,#
C8,INY,#
69,ADC,IM
00,BRK,#
85,STA,ZP
95,STA,ZX
91,STA,IY
81,STA,IX
65,ADC,ZP
A2,LDX,IM
A6,LDX,ZP
CA,DEX,#
8E,STX,AB
E0,CPX,IM
E4,CPX,ZP
C0,CPY,IM
D0,BNE,@
F0,BEQ,@
A0,LDY,IM
8A,TXA,#
99,STA,AY
48,PHA,#
68,PLA,#
4C,JMP,AB
20,JSR,AB
60,RTS,#
29,AND,IM
18,CLC,#
C9,CMP,IM
C5,CMP,ZP
10,BPL,@
4A,LSR,#
B0,BCS,@
90,BCC,@
38,SEC,#
E9,SBC,IM
EA,NOP,#
24,BIT,ZP
C6,DEC,ZP
E6,INC,ZP
